date,sales,region,state,category,type,caffeination
1/1/2010,219,Central,CO,Coffee,Amaretto,Regular
1/1/2010,190,Central,CO,Coffee,Columbian,Regular
1/1/2010,234,Central,CO,Coffee,Decaf Irish Cream,Decaf
1/1/2010,100,Central,CO,Tea,Green Tea,Regular
1/1/2010,134,Central,CO,Espresso,Caffe Mocha,Regular
1/1/2010,180,Central,CO,Espresso,Decaf Espresso,Decaf
1/1/2010,341,Central,CO,Herbal Tea,Chamomile,Decaf
1/1/2010,150,Central,CO,Herbal Tea,Lemon,Decaf
1/1/2010,140,Central,CO,Herbal Tea,Mint,Decaf
1/1/2010,130,Central,CO,Tea,Darjeeling,Regular
1/1/2010,140,Central,CO,Tea,Earl Grey,Regular
1/1/2010,345,Central,IL,Coffee,Columbian,Regular
1/1/2010,234,Central,IL,Coffee,Decaf Irish Cream,Decaf
1/1/2010,546,Central,IL,Espresso,Caffe Mocha,Regular
1/1/2010,456,Central,IL,Espresso,Decaf Espresso,Decaf
1/1/2010,219,Central,IL,Herbal Tea,Chamomile,Decaf
1/1/2010,190,Central,IL,Herbal Tea,Lemon,Decaf
1/1/2010,234,Central,IL,Herbal Tea,Mint,Decaf
1/1/2010,134,Central,IL,Tea,Darjeeling,Regular
1/1/2010,180,Central,IL,Tea,Earl Grey,Regular
1/1/2010,45,Central,IA,Coffee,Amaretto,Regular
1/1/2010,62,Central,IA,Coffee,Columbian,Regular
1/1/2010,54,Central,IA,Coffee,Decaf Irish Cream,Decaf
1/1/2010,43,Central,IA,Espresso,Caffe Mocha,Regular
1/1/2010,43,Central,IA,Espresso,Decaf Espresso,Decaf
1/1/2010,546,Central,IA,Herbal Tea,Chamomile,Decaf
1/1/2010,234,Central,IA,Herbal Tea,Lemon,Decaf
1/1/2010,456,Central,IA,Tea,Darjeeling,Regular
1/1/2010,546,Central,IA,Tea,Earl Grey,Regular
1/1/2010,190,Central,MO,Coffee,Columbian,Regular
1/1/2010,170,Central,MO,Coffee,Decaf Irish Cream,Decaf
1/1/2010,76,Central,MO,Tea,Green Tea,Regular
1/1/2010,123,Central,MO,Espresso,Caffe Mocha,Regular
1/1/2010,114,Central,MO,Espresso,Decaf Espresso,Decaf
1/1/2010,90,Central,MO,Herbal Tea,Chamomile,Decaf
1/1/2010,99,Central,MO,Herbal Tea,Lemon,Decaf
